name,platform,r-date,score,user score,developer,genre,players,critics,users
BioShock Infinite,PC,2013-03-25,94,8.6,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",,68,8729
Halo 3,Xbox360,2007-09-25,94,8.0,"BungieSoftware,Bungie","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",,86,4729
Ninja Gaiden Black,Xbox,2005-09-20,94,8.8,TeamNinja,"Action Adventure,Fantasy",,32,177
The Elder Scrolls IV: Oblivion,PC,2006-03-20,94,8.1,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",,54,3069
Street Fighter IV,PlayStation3,2009-02-17,94,7.4,Capcom,"Action,Fighting,Fighting,3D,2D,3D",,61,391
Super Mario Advance 4: Super Mario Bros. 3,GameBoyAdvance,2003-10-21,94,8.9,Nintendo,"Action,Platformer,2D",,25,203
Jet Grind Radio,Dreamcast,2000-10-30,94,8.1,Smilebit,"Action,Platformer,3D",,24,89
Metal Gear Solid,PlayStation,1998-10-21,94,9.2,KCEJ,"Action Adventure,Modern",,20,1584
Grim Fandango,PC,1998-10-14,94,9.1,LucasArts,"Adventure,General,General,3D,Third-Person,Fantasy",,15,685
Tom Clancy's Splinter Cell Chaos Theory,Xbox,2005-03-28,94,9.0,UbisoftMontreal,"Action Adventure,Modern",,70,218
Burnout 3: Takedown,Xbox,2004-09-07,94,7.7,CriterionGames,"Driving,Racing,Arcade",,76,182
Diablo,PC,1996-12-31,94,8.7,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",,12,1161
Metal Gear Solid 3: Subsistence,PlayStation2,2006-03-14,94,9.1,Aspect,"Action Adventure,Modern",,53,657
Call of Duty: Modern Warfare 2,Xbox360,2009-11-10,94,6.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",,100,2957
Metal Gear Solid 4: Guns of the Patriots,PlayStation3,2008-06-12,94,8.8,KojimaProductions,"Action Adventure,Modern,General,Modern",,82,4088
NCAA Football 2004,PlayStation2,2003-07-16,94,8.3,EASports,"Sports,Traditional,Football,Sim",,15,86
God of War,PlayStation2,2005-03-22,94,8.9,SCESantaMonica,"Action Adventure,Fantasy",,75,1679
Star Wars: Knights of the Old Republic,Xbox,2003-07-17,94,9.1,BioWare,"Role-Playing,Third-Person",,72,409
Sid Meier's Civilization IV,PC,2005-10-25,94,8.3,FiraxisGames,"Strategy,Turn-Based,Historic,Historic,4X",,50,1070
Madden NFL 2004,GameCube,2003-08-12,94,7.1,EATiburon,"Sports,Traditional,Football,Sim",,19,25
Virtua Fighter 4,PlayStation2,2002-03-17,94,8.1,SegaAM2,"Action,Fighting,3D",,36,95
Super Mario 64,Nintendo64,1996-09-26,94,9.2,Nintendo,"Action,Platformer,3D",,13,1274
The Witcher 3: Wild Hunt,PC,2015-05-18,93,9.4,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",,32,17537
Burnout 3: Takedown,PlayStation2,2004-09-07,93,9.0,CriterionGames,"Driving,Racing,Arcade",,52,385
Super Smash Bros. Brawl,Wii,2008-03-09,93,8.8,GameArts,"Action,Fighting,Fighting,3D,2D,3D",,81,2022
Company of Heroes,PC,2006-09-13,93,8.8,Relic,"Strategy,Real-Time,Historic,General,Historic",,55,1336
Gran Turismo 2,PlayStation,1999-11-30,93,9.0,PolyphonyDigital,"Driving,Racing,GT / Street",,23,246
The Last of Us Part II,PlayStation4,2020-06-19,93,5.7,NaughtyDog,"General,Action Adventure,Survival",,121,146262
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,2004-03-23,93,8.6,UbisoftShanghai,"Action Adventure,Modern",,74,95
Grand Theft Auto: Chinatown Wars,DS,2009-03-17,93,8.3,RockstarLeeds,"Action Adventure,Modern,Modern,Open-World",,85,334
Divinity: Original Sin II - Definitive Edition,Switch,2019-09-04,93,8.6,"LarianStudiosGames,BlitWorks,TheDragonCommanders","Role-Playing,Western-Style",,17,279
Pac-Man Championship Edition DX,Xbox360,2010-11-17,93,7.6,NamcoBandaiGames,"Adventure,General,Action,General,General,Arcade",,43,140
Street Fighter Alpha 3,PlayStation,1999-04-30,93,8.5,Capcom,"Action,Fighting,2D",,12,88
Tony Hawk's Pro Skater 3,Xbox,2002-03-04,93,7.6,NeversoftEntertainment,"Sports,Alternative,Skateboarding",,22,21
Hades,Switch,2020-09-17,93,9.1,SupergiantGames,"Action Adventure,General,Linear",,42,210
Half-Life: Alyx,PC,2020-03-23,93,9.1,ValveSoftware,"Action,First-Person,Shooter,Arcade",,68,2104
Divinity: Original Sin II,PC,2017-09-14,93,8.8,LarianStudiosGames,"Action RPG,Role-Playing,Western-Style",,72,1946
Unreal Tournament 2004,PC,2004-03-16,93,8.8,EpicGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",,48,719
BioShock Infinite,Xbox360,2013-03-26,93,8.6,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",,33,1814
Braid,Xbox360,2008-08-06,93,8.5,NumberNoneInc.,"Action,Platformer,Platformer,2D,2D",,57,464
God of War II,PlayStation2,2007-03-13,93,8.9,SCESantaMonica,"Action Adventure,Fantasy",,70,1215
Super Mario 3D World,WiiU,2013-11-22,93,8.9,Nintendo,"Platformer,3D,Action,Platformer,3D",,83,2001
Ori and the Will of the Wisps,Switch,2020-09-17,93,8.9,MoonStudios,"Action,Platformer,2D",,20,145
Starcraft II: Wings of Liberty,PC,2010-07-27,93,8.3,BlizzardEntertainment,"Strategy,Real-Time,Sci-Fi,Command",,82,3477
SSX,PlayStation2,2000-10-30,93,8.2,EASportsBig,"Sports,Alternative,Snowboarding",,35,55
Street Fighter IV,Xbox360,2009-02-17,93,7.3,Capcom,"Action,Fighting,Fighting,3D,2D,3D",,77,322
Minecraft,PC,2011-11-18,93,7.9,MojangAB,"Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy",,33,5818
Undertale,Switch,2018-09-18,93,8.0,"tobyfox,8-4","Role-Playing,Japanese-Style",,8,353
Persona 4 Golden,PlayStationVita,2012-11-20,93,8.6,Atlus,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",,61,1700
Persona 5,PlayStation4,2017-04-04,93,8.7,Atlus,"Role-Playing,Japanese-Style",,98,4717
Red Dead Redemption 2,PC,2019-11-05,93,5.5,RockstarGames,"Action Adventure,Open-World",,44,3546
SSX 3,PlayStation2,2003-10-20,93,8.8,EACanada,"Sports,Alternative,Snowboarding",,41,178
Tom Clancy's Splinter Cell,Xbox,2002-11-17,93,8.6,UbisoftMontreal,"Action Adventure,Modern",,46,142
Grand Theft Auto III,PC,2002-05-20,93,8.3,"DMADesign,RockstarNorth","Action Adventure,Modern,Modern,Open-World",,20,1254
Quake III Arena,Dreamcast,2000-10-22,93,8.3,Raster,"Action,Shooter,First-Person,Sci-Fi",,25,75
Homeworld,PC,1999-08-31,93,8.8,Relic,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",,20,383
Okami,PlayStation2,2006-09-19,93,9.1,CloverStudio,"Action Adventure,Fantasy",,69,470
The Elder Scrolls IV: Oblivion,PlayStation3,2007-03-20,93,8.1,4JStudios,"Role-Playing,First-Person,First-Person,Western-Style",,45,672
Fallout 3,Xbox360,2008-10-28,93,8.5,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",,84,1855
Gears of War 2,Xbox360,2008-11-07,93,7.8,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",,90,3060
SoulCalibur II,GameCube,2003-08-27,93,8.9,Namco,"Action,Fighting,3D",,45,185
World Soccer Winning Eleven 6 International,PlayStation2,2003-03-11,93,8.3,KCET,"Sports,Traditional,Soccer,Sim",,24,78
NFL 2K3,PlayStation2,2002-08-12,93,7.3,VisualConcepts,"Sports,Traditional,Football,Sim",,20,26
Mass Effect 3,Xbox360,2012-03-06,93,5.9,BioWare,"Role-Playing,Action RPG,Action RPG",,74,3740
Metal Gear Solid V: The Phantom Pain,PlayStation4,2015-09-01,93,8.2,"KojimaProductions,MobyDickStudio","Modern,Action Adventure,Modern,Open-World",,86,5583
Skies of Arcadia,Dreamcast,2000-11-13,93,8.9,Overworks,"Role-Playing,Console-style RPG",,21,125
The Legend of Zelda: Skyward Sword,Wii,2011-11-20,93,8.1,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",,81,2401
Mario Kart Super Circuit,GameBoyAdvance,2001-08-26,93,7.9,IntelligentSystems,"Driving,Racing,Kart",,24,190
Rock Band 3,Xbox360,2010-10-26,93,8.0,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",,57,148
Viewtiful Joe,GameCube,2003-10-07,93,8.3,CloverStudio,"Action,Beat-'Em-Up",,52,138
Test Drive Le Mans,Dreamcast,2000-11-13,93,8.2,MelbourneHouse,"Driving,Racing,GT / Street",,18,21
NBA 2K1,Dreamcast,2000-11-01,93,7.1,VisualConcepts,"Sports,Traditional,Basketball,Sim",,19,19
Castlevania: Symphony of the Night,PlayStation,1997-10-02,93,9.2,Konami,"Action,Platformer,2D",,12,664
Star Wars: Knights of the Old Republic,PC,2003-11-18,93,9.0,BioWare,"Role-Playing,Third-Person,Third-Person,General",,33,2007
Virtua Fighter 4: Evolution,PlayStation2,2003-08-13,93,8.6,Sega,"Action,Fighting,3D",,30,65
Uncharted 4: A Thief's End,PlayStation4,2016-05-10,93,8.5,NaughtyDog,"General,Modern,Action Adventure,Linear",,113,12333
Super Smash Bros. Ultimate,Switch,2018-12-07,93,8.6,"Nintendo,HALLabs,BandaiNamcoGames,SoraLtd.","Action,Fighting,2D",,99,2819
Braid,PlayStation3,2009-11-12,93,7.8,"HotheadGames,NumberNoneInc.","Action,Platformer,Platformer,2D,2D",,20,234
Mass Effect 3,PlayStation3,2012-03-05,93,5.7,BioWare,"Role-Playing,Action RPG,Action RPG",,30,1942
Paper Mario,Nintendo64,2001-02-05,93,9.1,IntelligentSystems,"Role-Playing,Console-style RPG",,15,420
Wipeout XL,PlayStation,1996-09-30,93,8.6,Psygnosis,"Driving,Racing,Futuristic",,8,40
Grand Theft Auto: San Andreas,Xbox,2005-06-07,93,8.7,RockstarNorth,"Action Adventure,Modern",,58,165
Resident Evil 2,XboxOne,2019-01-25,93,8.6,CapcomR&DDivision1,"Action Adventure,Survival",,27,896
INSIDE,XboxOne,2016-06-29,93,8.3,PLAYDEAD,"Action,Platformer,2D",,87,662
World of Warcraft,PC,2004-11-23,93,7.4,BlizzardEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",,57,2934
Grand Theft Auto: San Andreas,PC,2005-06-07,93,8.9,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",,47,3074
Flipnote Studio,DS,2009-08-12,93,7.5,Nintendo,"Miscellaneous,General,Application",,7,62
World Soccer Winning Eleven 7 International,PlayStation2,2004-02-17,93,8.3,KCET,"Sports,Traditional,Soccer,Sim",,28,57
NBA 2K2,Dreamcast,2001-10-24,93,7.3,VisualConcepts,"Sports,Traditional,Basketball,Sim",,12,22
SoulCalibur II,PlayStation2,2003-08-27,92,8.7,Namco,"Action,Fighting,3D",,41,161
The Elder Scrolls V: Skyrim,PlayStation3,2011-11-11,92,6.6,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",,16,2704
Hades,PC,2020-09-17,92,9.0,SupergiantGames,"Action Adventure,General,Linear",,50,335
Prince of Persia: The Sands of Time,Xbox,2003-11-12,92,7.8,Ubisoft,"Action Adventure,Fantasy",,41,87
Call of Duty 4: Modern Warfare,PC,2007-11-05,92,8.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",,40,3197
Forza Horizon 4,XboxOne,2018-09-28,92,8.1,PlaygroundGames,"Racing,Simulation,Automobile",,88,1323
God of War III,PlayStation3,2010-03-16,92,8.8,SCESantaMonica,"Action Adventure,Fantasy,Fantasy,Linear",,101,3304
Divinity: Original Sin II - Definitive Edition,XboxOne,2018-08-31,92,7.7,LarianStudiosGames,"Role-Playing,Western-Style",,12,129
NFL 2K3,GameCube,2002-08-21,92,7.1,VisualConcepts,"Sports,Traditional,Football,Sim",,24,13
