,score,score,score,score,user score,user score,players,players,players
,mean,median,count,std,mean,median,sum,mean,max
genre,,,,,,,,,
"Action RPG,Role-Playing,Japanese-Style",84.0,84.0,1,,7.5,7.5,0.0,,
"Action RPG,Role-Playing,Roguelike",69.0,69.0,1,,6.9,6.9,0.0,,
"Action RPG,Role-Playing,Trainer",79.5,79.5,2,0.7071067811865476,6.15,6.15,0.0,,
"Action RPG,Role-Playing,Western-Style",76.5,76.5,2,23.33452377915607,7.0,7.0,0.0,,
"Action,2D,Beat-'Em-Up",69.5,69.5,2,7.7781745930520225,6.0,6.0,0.0,,
"Action,Action Adventure,Adventure,Fantasy,Beat-'Em-Up,Fantasy,Third-Person,Fantasy,3D",58.0,58.0,1,,7.0,7.0,0.0,,
"Action,Action Adventure,Adventure,General,3D,Linear,Third-Person",72.0,72.0,1,,6.5,6.5,0.0,,
"Action,Action Adventure,Adventure,General,3D,Open-World,Third-Person,Modern",71.0,71.0,1,,7.7,7.7,0.0,,
"Action,Action Adventure,Adventure,General,General",60.0,60.0,2,14.142135623730951,5.0,5.0,0.0,,
"Action,Action Adventure,Adventure,General,General,3D,Linear,First-Person",52.0,52.0,2,2.8284271247461903,6.949999999999999,6.949999999999999,0.0,,
"Action,Action Adventure,Adventure,General,Platformer,Fantasy,Platformer,2D,2D",87.0,87.0,2,0.0,8.3,8.3,0.0,,
"Action,Action Adventure,Adventure,General,Platformer,Sandbox,2D",53.0,53.0,1,,6.9,6.9,0.0,,
"Action,Action Adventure,Adventure,Shooter,General,General,Third-Person,Modern",85.0,85.0,1,,8.4,8.4,0.0,,
"Action,Action Adventure,Arcade,Linear",74.5,74.5,2,7.7781745930520225,6.6,6.6,0.0,,
"Action,Action Adventure,Beat-'Em-Up,Beat-'Em-Up,Linear",44.333333333333336,44.0,3,2.516611478423584,6.066666666666666,5.7,2.0,2.0,2.0
"Action,Action Adventure,Beat-'Em-Up,Beat-'Em-Up,Linear,2D",69.0,69.0,1,,7.5,7.5,0.0,,
"Action,Action Adventure,Beat-'Em-Up,Beat-'Em-Up,Open-World,2D",42.0,42.0,2,12.727922061357855,5.3,5.3,0.0,,
"Action,Action Adventure,Beat-'Em-Up,Fantasy,Beat-'Em-Up,Linear",88.5,88.5,2,2.1213203435596424,7.9,7.9,0.0,,
"Action,Action Adventure,Beat-'Em-Up,General,Beat-'Em-Up",75.0,75.0,1,,8.2,8.2,0.0,,
"Action,Action Adventure,Beat-'Em-Up,General,Platformer,Beat-'Em-Up,2D",78.0,78.0,1,,7.7,7.7,0.0,,
"Action,Action Adventure,Beat-'Em-Up,Open-World,3D",65.0,65.0,1,,4.1,4.1,0.0,,
"Action,Action Adventure,Fantasy,Beat-'Em-Up,Fantasy,Linear",66.0,66.0,1,,8.6,8.6,0.0,,
"Action,Action Adventure,Fantasy,Beat-'Em-Up,General,Fantasy,Linear",81.0,81.0,2,4.242640687119285,8.5,8.5,0.0,,
"Action,Action Adventure,Fantasy,General,Fantasy",59.0,59.0,1,,8.3,8.3,0.0,,
"Action,Action Adventure,Fantasy,General,Platformer,Fantasy,2D",81.5,81.5,2,2.1213203435596424,7.949999999999999,7.949999999999999,0.0,,
"Action,Action Adventure,Fantasy,General,Platformer,Fantasy,3D",71.0,71.0,1,,6.7,6.7,0.0,,
"Action,Action Adventure,Fantasy,Platformer,Fantasy,2D",71.0,71.0,1,,,,0.0,,
"Action,Action Adventure,Fantasy,Platformer,Fantasy,3D",33.5,33.5,2,9.192388155425117,6.449999999999999,6.449999999999999,0.0,,
"Action,Action Adventure,General",79.25,79.0,8,2.7124053637210728,7.65,7.65,2.0,2.0,2.0
"Action,Action Adventure,General,Fantasy",49.0,49.0,1,,7.7,7.7,0.0,,
"Action,Action Adventure,General,Fantasy,General,Fantasy",71.71428571428571,74.0,7,7.364651739090946,7.385714285714286,7.6,0.0,,
"Action,Action Adventure,General,Fantasy,General,Fantasy,Open-World",82.5,82.5,2,0.7071067811865476,7.8,7.8,0.0,,
"Action,Action Adventure,General,Fantasy,Platformer,Shooter,Fantasy,2D,Third-Person,Fantasy",69.0,69.0,1,,6.3,6.3,0.0,,
"Action,Action Adventure,General,General",61.333333333333336,62.0,6,16.536827587740845,6.583333333333333,6.85,0.0,,
"Action,Action Adventure,General,General,Fantasy",68.0,65.0,5,6.000000000000001,7.32,7.3,0.0,,
"Action,Action Adventure,General,General,Linear",69.11111111111111,66.0,9,14.066311211938658,7.199999999999999,7.5,0.0,,
"Action,Action Adventure,General,General,Open-World",62.875,68.5,8,13.032240241581098,6.725,7.0,0.0,,
"Action,Action Adventure,General,General,Shooter,Linear,Third-Person,Arcade",69.2,71.0,5,4.711687595755899,6.9799999999999995,6.8,0.0,,
"Action,Action Adventure,General,General,Survival",74.0,74.0,1,,8.1,8.1,0.0,,
"Action,Action Adventure,General,Horror,Survival",55.0,55.0,2,5.656854249492381,6.949999999999999,6.949999999999999,0.0,,
